popularity,duration_ms_x,like,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms_y,time_signature
31.0,276939.0,1.0,0.767,0.9329999999999999,4.0,-4.537,0.0,0.201,0.32799999999999996,0.0,0.0708,0.845,134.939,276940.0,4.0
16.0,202436.0,1.0,0.7559999999999999,0.8220000000000001,10.0,-3.359,1.0,0.0578,0.115,0.00135,0.0961,0.858,134.07399999999998,202437.0,4.0
33.0,240048.0,1.0,0.725,0.9009999999999999,6.0,-2.298,0.0,0.11800000000000001,0.17300000000000001,0.0,0.087,0.953,88.473,240048.0,3.0
27.0,206447.0,1.0,0.484,0.95,5.0,-0.414,1.0,0.348,0.251,0.0,0.124,0.9279999999999999,170.90900000000002,206447.0,3.0
25.0,240491.0,1.0,0.742,0.892,9.0,-2.7230000000000003,1.0,0.107,0.0478,0.0,0.0656,0.593,104.98899999999999,240492.0,4.0
50.0,202746.0,1.0,0.8759999999999999,0.855,9.0,-5.587000000000001,0.0,0.131,0.335,0.00358,0.105,0.695,125.044,202747.0,4.0
44.0,248476.0,1.0,0.795,0.887,7.0,-4.356,1.0,0.15,0.0237,0.0,0.19699999999999998,0.9540000000000001,120.029,248477.0,4.0
36.0,196666.0,1.0,0.7829999999999999,0.9259999999999999,9.0,-3.6830000000000003,0.0,0.079,0.156,0.00825,0.135,0.9229999999999999,125.999,196666.0,4.0
34.0,204867.0,1.0,0.8170000000000001,0.887,7.0,-3.395,1.0,0.0418,0.243,0.00023999999999999998,0.0405,0.968,113.928,204867.0,4.0
24.0,486954.0,1.0,0.5870000000000001,0.9670000000000001,7.0,-3.25,1.0,0.159,0.20600000000000002,0.0,0.069,0.922,115.10700000000001,486954.0,4.0
28.0,241241.0,1.0,0.485,0.953,9.0,-2.634,1.0,0.10099999999999999,0.309,0.0,0.39399999999999996,0.9,132.029,241242.0,4.0
26.0,480335.0,1.0,0.429,0.904,7.0,-3.7,0.0,0.0882,0.152,0.0,0.34600000000000003,0.706,118.382,480335.0,4.0
22.0,226928.0,1.0,0.804,0.924,7.0,-4.288,1.0,0.11599999999999999,0.0766,0.000349,0.473,0.8079999999999999,133.004,226929.0,4.0
47.0,253840.0,1.0,0.8240000000000001,0.915,1.0,-2.989,1.0,0.0894,0.0767,0.0,0.045,0.973,129.989,253841.0,4.0
47.0,205773.0,1.0,0.802,0.467,1.0,-11.145999999999999,0.0,0.261,0.875,0.0,0.11,0.314,124.037,205773.0,4.0
32.0,206959.0,1.0,0.513,0.932,5.0,-1.173,1.0,0.355,0.358,2.45e-06,0.166,0.8740000000000001,114.115,206960.0,4.0
21.0,285280.0,1.0,0.652,0.875,10.0,-4.867,1.0,0.107,0.113,2.11e-05,0.13,0.61,106.31,285281.0,3.0
46.0,266903.0,1.0,0.5710000000000001,0.736,2.0,-8.697000000000001,1.0,0.141,0.242,8.02e-06,0.18600000000000003,0.489,197.952,266903.0,3.0
55.0,223500.0,1.0,0.58,0.903,11.0,-4.564,1.0,0.0773,0.353,6.98e-06,0.0957,0.9159999999999999,194.828,223500.0,3.0
30.0,220487.0,1.0,0.43799999999999994,0.7809999999999999,10.0,-5.254,0.0,0.11,0.0475,0.0,0.249,0.8959999999999999,97.12200000000001,220488.0,3.0
56.0,125013.0,1.0,0.925,0.8490000000000001,7.0,-4.2330000000000005,1.0,0.24100000000000002,0.0239,3.8e-05,0.16399999999999998,0.614,129.009,125013.0,4.0
39.0,235066.0,1.0,0.73,0.856,11.0,-5.124,1.0,0.0492,0.619,0.0,0.0548,0.9670000000000001,115.00399999999999,235067.0,4.0
19.0,159425.0,0.0,0.75,0.754,0.0,-5.3,0.0,0.185,0.0985,0.0,0.0869,0.843,109.96,159425.0,4.0
15.0,234292.0,0.0,0.703,0.8320000000000001,1.0,-4.32,1.0,0.057999999999999996,0.18100000000000002,0.0,0.0659,0.961,100.012,234292.0,4.0
27.0,258880.0,0.0,0.8320000000000001,0.898,1.0,-1.5190000000000001,0.0,0.142,0.6,0.0,0.136,0.8540000000000001,114.99,258880.0,4.0
46.0,201771.0,0.0,0.8320000000000001,0.622,9.0,-2.122,1.0,0.0738,0.18100000000000002,0.022000000000000002,0.0615,0.917,126.054,201771.0,4.0
12.0,178306.0,0.0,0.782,0.877,6.0,-6.457999999999999,1.0,0.051,0.214,0.000175,0.0892,0.937,125.051,178307.0,4.0
49.0,194786.0,0.0,0.5720000000000001,0.752,6.0,-3.9619999999999997,0.0,0.295,0.09,0.00031099999999999997,0.0943,0.965,160.268,194787.0,5.0
5.0,229200.0,0.0,0.7709999999999999,0.823,6.0,-4.104,0.0,0.0336,0.0308,0.0,0.344,0.637,103.015,229200.0,4.0
30.0,240140.0,0.0,0.703,0.7040000000000001,2.0,-5.295,1.0,0.0644,0.647,1.05e-05,0.11199999999999999,0.899,100.02,240141.0,4.0
44.0,187586.0,0.0,0.765,0.826,8.0,-3.9530000000000003,1.0,0.193,0.142,0.0,0.0382,0.43700000000000006,100.008,187587.0,4.0
29.0,194455.0,0.0,0.747,0.7559999999999999,7.0,-3.639,1.0,0.145,0.222,2.5e-06,0.0806,0.889,95.094,194456.0,4.0
28.0,165283.0,0.0,0.883,0.5660000000000001,0.0,-10.091000000000001,1.0,0.175,0.13699999999999998,0.0,0.22399999999999998,0.67,105.975,165283.0,4.0
36.0,248736.0,0.0,0.263,0.625,6.0,-7.561,0.0,0.0416,0.0186,2.89e-06,0.10800000000000001,0.203,78.998,248736.0,4.0
48.0,246832.0,0.0,0.698,0.9440000000000001,9.0,-2.48,0.0,0.0628,0.0214,4.68e-05,0.485,0.9209999999999999,122.18299999999999,246832.0,4.0
30.0,194063.0,0.0,0.725,0.78,7.0,-5.547999999999999,1.0,0.0388,0.19899999999999998,3.28e-05,0.321,0.867,112.985,194064.0,4.0
19.0,209493.0,0.0,0.8140000000000001,0.927,0.0,-0.43700000000000006,0.0,0.12,0.0928,1.56e-06,0.0534,0.863,122.499,209493.0,5.0
23.0,226324.0,0.0,0.475,0.6629999999999999,7.0,-4.9719999999999995,1.0,0.0472,0.624,0.0,0.11,0.48,66.553,226325.0,4.0
20.0,187200.0,0.0,0.852,0.9309999999999999,6.0,-3.674,1.0,0.085,0.113,0.0,0.657,0.932,111.024,187200.0,3.0
26.0,226920.0,0.0,0.8029999999999999,0.9229999999999999,11.0,-4.2,0.0,0.0852,0.193,0.0,0.0995,0.754,102.98,226920.0,4.0
30.0,200173.0,0.0,0.738,0.9329999999999999,9.0,-1.579,1.0,0.0435,0.371,0.0208,0.0614,0.981,121.985,200173.0,4.0
30.0,231800.0,0.0,0.847,0.853,4.0,-2.427,0.0,0.0487,0.0184,0.013999999999999999,0.0774,0.618,117.015,231800.0,4.0
